benefits,company_description,company_locations,company_logo,company_name,company_website,department,description,employmentType,excerpt,lastUpdated,requirements,title,url
"Medical, Dental, and Vision Insurance; Life Insurance; 401k match",Englewood LAB leads the industry among OEM and ODM manufacturing companies in OTC Cosmetics. We manufacture and develop products for more than 80 major brands and trusted partners. Englewood LAB brings extensive expertise in developing and manufacturing a variety of skin care products. ,"Totowa, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/190191/EWL_Logo.png,"Englewood Lab, Inc",http://englewoodlab.com,Quality,"Title: Quality Assurance Associate Reports to: Quality Assurance Supervisor or Manager Department: Quality Responsibilities: Conducts Annual Drug (Product) Reviews and Device History Reviews. Maintains Regulatory Compliance documents and documents of external origin. Maintain Document Control (including Records Retention) Participates in internal and external audit process. Participates in Mock (product) recall audits. Maintain SOPs and Quality Forms as part of Document Control. Maintains records of customer-approvals documents as evidence of authenticity. Participate in QA Audits and draft reports of such audits. Effects changes to specification sheets as approved through change control requests. Support Change Control program and maintain evidence of product and process changes. Maintains SOP binders and updates such documents through approved CCs. Supports EWL Employee training and documentation. Maintains suppliers and vendors qualification program. Supports and maintains approvals of formulary, specifications and manufacturing records. Participates in Mock (product) recall audits. Maintains Records Retention for QA Dept. Initiates, Tracks, and authors Annual Drug Reviews (ADRs) for OTC and Annual Drug Reviews and Device History Reviews (DHRs). Assists in collating, reviewing, filing, maintaining of OTC bulk batch records, COAs, formula documents, etc. Tracks and Performs physical sample retain review for ADRs and DHRs. Tracks, Maintains, Closes requests for Change Control Notices (CC), Defective Material forms (DMF), and Deviations, Return Authorizations, Investigations, etc. ",Full-time,Title: Quality Assurance Associate Reports to: Quality Assurance Supervisor or Manager Department: Quality Responsibilities: Conducts Annual Drug (Product) Reviews and Device History Reviews. Maintains Regulatory Compliance documents and documents of e...,1737590400,"Minimum of 2 years of diploma program or 4-year college degree.; 2 to 3 years industry or related experience.; Previous experience in Pharma, Cosmetics, food, medical device, or allied profession.; Good Technical Writing ability.; Excellent knowledge of Word, Excel, Access, and other Windows-based programs.; Good record-keeping skills.",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/dC6BkV5EpsG7oocR1UFWH4/quality-assurance-associate--(quality)-in-totowa-at-englewood-lab%2C-inc
"·       Paid Vacation, Sick, &amp; Holidays; ·       Medical, Dental, and Vision Insurance, FSA: Dependent &amp; Healthcare, Commuter &amp; Parking Benefits, Long Term Disability Coverage; ·       Company Paid Life and Short-Term Disability Coverage; ·       Work/Life Employee Assistance Program; ·       401(k) &amp; Roth Retirement Savings Plan with company match up to 5%; ·       Monthly MetroCard Reimbursement; The salary for this role is $25/Hour; Cresilon is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.; This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, training, and apprenticeship. Cresilon makes hiring decisions based solely on qualifications, merit, and business needs at the time.","Founded in 2010, Cresilon, Inc. is a medical device company focused on hemostatic technologies that advance the standard of medical treatments. Our proprietary product VETIGEL™ is designed exclusively for veterinarians, offering a faster solution in hemostasis for clinicians performing both routine treatments and complex operations. For more information please visit Cresilon. com. ","Brooklyn, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/8664/Cresilon_GB_Gradient_Swirl_Blue_Text_Transparent_background.png,"Cresilon, Inc.",http://www.cresilon.com,QA,"The Quality Assurance Technician is responsible for routine inspection and testing of raw materials and components as well as of final product for Cresilon’s products in the Animal and Human Health industries. This position requires a strong attention to detail as the individual will be responsible for identifying deviations in product quality or safety and ensuring compliance with local, state, and federal regulations, including current Good Manufacturing Practices (cGMP). Position is for 2nd shift. Responsibilities: Sample and perform visual inspection of final products and raw materials. Perform other testing under the direction of QA Operations Manager. Perform line clearance activities and in-process inspections. Monitor routine manufacturing operations for conformance to applicable procedures (see Gowning Qualification requirements below) Transfer materials between facilities (see lifting requirements below) Facility 1 of 2: 122 18th Street, Brooklyn, NY 11215 Facility 2 of 2: 87 35th Street, Suite 603/604/6R, Brooklyn, NY 11232 Operate testing equipment such as force testers, torque testers, and balances. Report all deviations in product, components, raw materials, and equipment per their relevant procedures Perform document control activities, including but not limited to printing logbooks and batch records. Transcribe data into digital systems for tracking Quality Metrics. Batch record review &amp; support routine batch disposition ",,The Quality Assurance Technician is responsible for routine inspection and testing of raw materials and components as well as of final product for Cresilon’s products in the Animal and Human Health industries. This position requires a strong attention ...,1736208000,"Required experience in GMP and FDA regulated environments (ISO 13485:2016 preferred); Ability to be Gowning Qualified per Cresilon’s SOP.; 1 year experience in regulated industry highly desirable; Ability to lift, walk, stand, reach, pull and push",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/wbZ9mUswnRukkWcnrrDSAi/quality-assurance-technician-in-brooklyn-at-cresilon%2C-inc.
"100% coverage on employee health, vision, and dental insurance, partial coverage for family; Memberships to TeleDoc and TalkSpace (one year); Parental leave; NY Commuter benefits; Flexible Spending Accounts (FSA) and Health Savings Account (HSA); Retirement planning (401k); Onsite gym membership and commuter showers; Team building events outside the office",,"Long Island City, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/56260/logo,HistoWiz,http://histowiz.com,HistoWiz Inc.,"HistoWiz is the largest online histopathology company, based in New York City. Our mission is to help biomedical researchers find cures by accelerating histopathology and enabling global collaboration. We are looking for a Quality Assurance Specialist interested in joining our mission and serving the public health. This position is accountable for the execution of assigned company GLP QA audit activities ensuring that the current regulations, policies, and procedures are adhered to at all of our Company sites (domestic and international) and at contract facilities worldwide. Since inception in 2013, we have doubled our month-over-month sales, driven primarily by customer referrals. We are profitable, won numerous awards and are funded by prestigious investors, including Y-Combinator and Zhenfund. We are seasoned scientists with experience at leading academic institutions and have published high impact research in top journals of biomedicine. HistoWiz has over 1, 000 paying customers globally from top academic institutions (e. g. MSKCC, Harvard, Stanford, HHMI) and pharmaceutical companies (e. g. CRISPR, Johnson &amp; Johnson, Regeneron). We process tissue specimens and digitize all of the results, hosting our client’s data on a proprietary platform, PathologyMapTM . This platform not only enables industry-leading turnaround time for diagnosis, but also online viewing, sharing and search. No other platform like this exists, so we are truly building something new that can bridge scientists, doctors, and patients from all over the world to conquer life-threatening diseases collaboratively instead of individually. This online platform also contains the world’s largest collection of pathology data and the first network of top pathologists. Today, we are expanding our laboratory services into GLP to support our customers' growing histology needs. Who are you?The Senior Manager/Director of Quality is responsible for overseeing the quality and compliance of laboratory operations with GLP/GCLP regulations. Supports the laboratory with the build out of the quality systems necessary to run a GLP lab operation. Oversees the development, implementation, and maintenance of the quality management system in accordance with the GLPs. Leads internal audits and hosts client audits. Responds to client questionnaires and inquiries. Duties carried out in accordance with the HistoWiz QMS and Standard Operating Procedures (SOPs) to support GLP and non-GLP work. Additional experience with CAP/CLIA a plus. We are looking for a critical member of the team that aims to build from the ground up, not just audit. GENERAL RESPONSIBILITIES AND SPECIFIC DUTIES Develop, review and update SOPs and BOPs. Provide guidance and technical support to laboratory staff on GLP regulations. Train staff on the GLPs and GLP compliance. Maintain and ensure GLP compliance for staff training files, master schedule, etc. Lead internal audits in support of GLP studies, writing inspection reports, following up on observations, ensure timely corrective actions are taken on any findings. Prepare QA statements for GLP study reports. Prepare laboratory and staff for GCLP Ensure sponsor inspection readiness. Host client audits, prepare internal team, and manage follow-up with external auditors. Work collaboratively with staff responding to and resolving deviations and audit observations. Follow through on corrective and preventative actions from deviations and audit observations Control SOP writing, reviewing, approving and distributing. Working with the Laboratory Management team to achieve company goals. Lead QA unit and develop junior QA associates within the team, in a dynamic startup environment ",Full-time,"HistoWiz is the largest online histopathology company, based in New York City. Our mission is to help biomedical researchers find cures by accelerating histopathology and enabling global collaboration. We are looking for a Quality Assurance Specialist ...",1736726400,"A BS and/or MS degree in a scientific or technical field; At least 5 years of experience in Quality Assurance working at a CRO, pharma, biotech or diagnostic lab; Prior audit and GLP review experience; In-depth knowledge and experience with GLP and/or GCP regulations and industry standards (EPA, OECD, FDA, EU guidance); Excellent communication skills and work well under pressure in a team environment; Experience in histology, histotechnology, and IHC are highly desirable.; Lab management experience is a plus.",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/f7qLqSLSsNsF5NAwGb7XuA/senior-manager%2Fdirector-of-quality-in-long-island-city-at-histowiz
"Interns will receive an unlimited Monthly MTA metro-card for the duration of the program; Frequent company happy hours and events; Free Food &amp; Snacks; Health Care Plan (Medical, Dental &amp; Vision) for eligible employees working 30 + hours a week; Training; The salary for this role is $20/hour","Founded in 2010, Cresilon, Inc. is a medical device company focused on hemostatic technologies that advance the standard of medical treatments. Our proprietary product VETIGEL™ is designed exclusively for veterinarians, offering a faster solution in hemostasis for clinicians performing both routine treatments and complex operations. For more information please visit Cresilon. com. ","Brooklyn, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/8664/Cresilon_GB_Gradient_Swirl_Blue_Text_Transparent_background.png,"Cresilon, Inc.",http://www.cresilon.com,,"Cresilon® is a Brooklyn-based biotechnology company that develops, manufactures, and markets hemostatic medical devices utilizing the company’s proprietary hydrogel technology. The company’s plant-based technology has revolutionized the current standard by stopping traumatic and surgical bleeds in seconds without the need for extended manual pressure. The company's current and future product lines target veterinary, human trauma, and human surgical applications. Cresilon's mission is to save lives. Learn more about the company at www. cresilon. com. This summer, Cresilon is looking to bring on interns from diverse fields in order for them to gain exposure into the industry. There will be technical and non-technical internships available, which will focus on a specific project. Candidates will be exposed to all aspects of the industry regardless of their placement. The internship is a 10-week onsite program beginning on 02 June 2025 and end on 08 August 2025. Compensation will be fixed at $20. 00/hour for 40 hours/week. Part time opportunities are also available. The application period closes on 07 March 2025. There are seven internship categories available. Please indicate your Top 2 choices in your attached cover letter:1. Sales and MarketingJob Description: Interns will assist with writing marketing materials, updating social media, spearheading presentations and individual campaigns, and will work with sales to set annual and quarterly focuses. Opportunities for compensated travel to conferences and other industry related events exist. 2. Business DevelopmentJob Description: Interns will perform market research, provide strategic assessments, and use primary and secondary market research data to analytically support existing and new marketing sales strategies, . Opportunities for compensated travel to conferences and other industry related events exist. 3. ManufacturingJob Description: Interns will assist with supply chain logistics, optimization of processes / process flows, creation and revision of Standard Operating Procedures (SOPs) and batch records, and equipment installation and qualification. Opportunities for compensated travel to conferences and other industry related events exist. 4. Quality AssuranceJob Description: Interns will assist in establishing the Quality Management System, which serves as the backbone of all quality and regulatory requirements at Cresilon. Interns will help in maintaining the central document control system, implementing OSHA requirements, participating in inspections and reporting any non-conformances. Opportunities for compensated travel to conferences and other industry related events exist. 5. Research and Development (Formulation / Process Development)Job Description: Interns will assist with conducting routine research and development on the subject of polymer formulation development, physical and chemical characterization of polymer materials, structure-property performance in-vivo and process scale-up. Interns will write up and present findings. Opportunities for compensated travel to conferences and other industry related events exist. 6. R&amp;D Mechanical Design/Product DevelopmentJob Description: Interns will assist with conducting routine research and development on the subject of designing, testing, and improving delivery devices for Cresilon's suite of products. Interns will write up and present findings. Opportunities for compensated travel to conferences and other industry related events exist. 7. Quality Control (Microbiology/Chemistry)Job Description: Interns will assist with verifying conformance to in-process specifications and proposing and implementing QC assays. This program will involve working with aseptic technique and interfacing with the manufacturing team. Opportunities for compensated travel to conferences and other industry related events exist. 8. Quality EngineeringJob Description: Interns will assist with product realization efforts, including design verification &amp; validation; conducting quality risk assessments for changing processes; authoring risk documents like FMEAs and PHAs; and support submission of 510(k). Opportunities for compensated travel to conferences and other industry related events exist. 9. FinanceJob Description: Interns will assist FP&amp;A and Accounting teams with responsibilities including budgeting, transcribing data into financial models, reconciling system data vs actuals, the monthly close process, and more. ",Full-time,"Cresilon® is a Brooklyn-based biotechnology company that develops, manufactures, and markets hemostatic medical devices utilizing the company’s proprietary hydrogel technology. The company’s plant-based technology has revolutionized the current standar...",1736380800,"Background in Biomedical Science, Finance, Marketing, or similar; Industry experience preferred; Background in Biomedical Science, Finance, Marketing, or similar; Industry experience preferred; Background in Chemistry, Biochemistry, Chemical Engineering, Materials Engineering, or similar; Prior lab experience required.; Graduate level coursework preferred.; Background in Mechanical Engineering, Biomedical Engineering, or similar; Prior lab experience required.; Graduate level coursework preferred.; Background in Supply Chain Management, Industrial Engineering, Chemical Engineering, or similar; Graduate level coursework and/or industry experience preferred; Background in Chemistry, Biology, Quality Assurance, or similar; Prior lab experience preferred; Background in Chemistry, Biology, Engineering, or similar; Prior lab experience required; Background in Biomedical Engineering, Chemical Engineering, or similar; Prior lab experience required; Knowledge of statistics preferred; Background in Business, Finance, Accounting, or similar; Advanced knowledge of excel",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/sgquBUwEuGczmrW7US9YNd/2025-summer-biotechnology-internship-in-brooklyn-at-cresilon%2C-inc.
401(k); 401(k) matching; Health insurance; Dental insurance; Vision insurance; Employee discount; Paid time off,,"Rye, New York, United States",,Carpet Trends,https://www.carpetrends.com/,,"Our company is currently looking for an additional sales person to join our team. Previous experience in sales and or flooring is not necessary but is preferred. Successful candidate should be computer literate and have a friendly disposition. The candidate must take pride in their work, be a forward thinker, self-starter, capable of a high level of multitasking and be able to ensure all company processes are followed. Able to communicate effectively with employees and clients and adhere to company policies and procedures on a daily basis. Job type:Full time Monday- Friday alternating SaturdaysCompensation is base + Commission. ",Full-time,Our company is currently looking for an additional sales person to join our team. Previous experience in sales and or flooring is not necessary but is preferred. Successful candidate should be computer literate and have a friendly disposition. The cand...,1737676800,"Responsibilities:; Ensures the store procedures and policies are followed; Ensure high level of service and ordering and delivery of quality products; Communicates daily with manager; Ensuring proper storage of products; Reading work orders or to determine items to be ordered, gathered or distributed; Recording amounts of materials or items received or distributed via appropriate computer program Assisting in counting of physical inventory; Skills:; Strong leadership skills; Customer service a priority; Must be capable of assisting well educated consumers; Hard working and dependable team player; Documentation Skills; Inventory control; Must be able to handle multiple projects and multitask; Excellent attention to detail and accuracy; Organizational skills; Professional appearance and demeanor a must; Ability to effectively communicate verbally and in writing; Need to be proficient in Word, Outlook, and Excel. Will train on our system.; Qualifications:; Understands quality control and assurance on a daily basis; Ability to demonstrate highest level of honesty, integrity and respect for all employees; Must be able to pass security/ background check; Must be able to work as a team member",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/o2RbEFPcQqHGZQEhL2Rw77/sales-associate-in-rye-at-carpet-trends
"Health Care Plan (Medical, Dental &amp; Vision); Retirement Plan (401k, IRA); Life Insurance (Basic, Voluntary &amp; AD&amp;D); Paid Time Off (Vacation, Sick &amp; Public Holidays); Family Leave (Maternity, Paternity); Short Term &amp; Long Term Disability; Training &amp; Development",,"Great Neck, New York, United States",,Carrie Rikon & Associates,https://carrierikonassociates.com/,,"Join us as a Food Safety Quality Assurance CoordinatorEnjoy working onsite with us 5 days a week!Competitive salary starting at $70K, plus fantastic benefits!Located in beautiful Great Neck, NY. Seeking a skilled FSQA Coordinator with experience in a food safety or related field. This junior position will work within the Food Safety and Quality Assurance Department, in the East Coast Headquarters, with an opportunity to become a leading member of an expanding team. Responsibilities: Support all daily data entry needs with a focus on document and testing process control. Support incoming supplier requests, and the Private Label approval processes. Track and trend credit memos and vendor deductions, while working closely with Accounts Payable. Manage the procurement of necessary products for laboratory testing. Conduct and represent the FSQA team during internal product evaluations. Collaborate closely with document compliance team members to update internal product specifications and SOPs. Expectations: An interest and passion for food safety and quality assurance. Ability to work on numerous projects simultaneously while supporting the improvement of document compliance success, vendor accountability and testing processes. Provide support as needed to help achieve all FSQA goals. Experience:Preferred experience in food safety, restaurants, operations and/or food manufacturing with an interest in long term food safety improvement. Bachelor’s Degree in related field is a plus, but not required. Excellent organizational skills with a strong attention to detail. The ability to work independently and manage multiple tasks simultaneously. Understanding of food manufacturing processes (GMPs), quality control methodologies (HACCP, USDA/FDA regs), and industry best practices a plus. Excellent communication and interpersonal skills to collaborate effectively with cross-departmental teams. ",Full-time,"Join us as a Food Safety Quality Assurance CoordinatorEnjoy working onsite with us 5 days a week!Competitive salary starting at $70K, plus fantastic benefits!Located in beautiful Great Neck, NY.Seeking a skilled FSQA Coordinator with experience in a fo...",1736640000,,Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/ayKGKYMnMTdTDJri82nxaE/food-safety-quality-assurance-coordinator-in-great-neck-at-carrie-rikon-%26-associates
"Health Care Plan (Medical, Dental &amp; Vision); Retirement Plan (401k, IRA); Life Insurance (Basic, Voluntary &amp; AD&amp;D); Paid Time Off (Vacation, Sick &amp; Public Holidays); Family Leave (Maternity, Paternity); Short Term &amp; Long Term Disability; Training &amp; Development",,"Great Neck, New York, United States",,Carrie Rikon & Associates,https://carrierikonassociates.com/,,"Quality Assurance and Document Compliance Specialist 80K Plus BenefitsWork Onsite 5 Days A WeekGreat Neck, NYWholesale Food and Beverage Company is seeking a skilled FSQA Compliance Specialist, with experience evaluating document compliance of supply vendors. This position will work within the Food Safety and Quality Assurance Department, in the East Coast Headquarters, with an opportunity to become a leading member of an expanding team. Responsibilities: Review, assess, and evaluate the compliance status of both incumbent and new suppliers (knowledge of domestic and import processes is a plus). Manage a high volume of audit reports from vendors with multiple subsidiaries and facilities requiring additional assessments. Ensuring compliance with Importer of Record documentation. Oversee Foreign Supplier Verification (FSVP) compliance. Conduct internal and external report reviewal. Develop and update internal specifications and SOPs. Expectations: A technical background in audit report review and validation, with broad knowledge of perishable and non-perishable food items as well as consumables. Ability to manage a large influx of reports daily while continuously improving compliance verification, escalation, and monitoring processes. Lead the development of an internal tracking system, and SOPs for efficient management of up-to-date vendor compliance. Provide support as needed to help achieve all FSQA goals. Must Have Experience:Bachelor’s degree in food science or related field. Required experience in food safety or quality control. 2+ years of experience in the food or import industry is preferred. Knowledge of HACCP, FSVP, and PCQI, as well as general food safety requirements. Understanding of food manufacturing processes, quality control methodologies, and industry best practices. Strong attention to detail with the ability to work independently and manage multiple tasks simultaneously. Excellent communication and interpersonal skills to collaborate effectively with cross-departmental teams, suppliers, and regulatory authorities. ",Full-time,"Quality Assurance and Document Compliance Specialist 80K Plus BenefitsWork Onsite 5 Days A WeekGreat Neck, NYWholesale Food and Beverage Company is seeking a skilled FSQA Compliance Specialist, with experience evaluating document compliance of supply v...",1736640000,,Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/nf5ThVKeH1FsNjUwxrA3s5/quality-assurance-and-document-compliance-specialist-in-great-neck-at-carrie-rikon-%26-associates
"Competitive Salary with performance-based bonuses.; Health Insurance covering medical, dental, and vision.; Remote Work Opportunities for flexible schedules.; Paid Time Off including vacation, sick leave, and personal days.; Career Growth with ongoing training, certifications, and mentorship.; Job Placement Assistance and networking opportunities.; Collaborative Work Environment with employee recognition programs.","Ace IT Careers is a dedicated recruitment and training firm specializing in empowering international candidates to build successful careers in the tech industry, particularly in Quality Assurance (QA) software testing roles. Founded in 2018, our mission is to bridge the skills gap by providing high-quality, tailored training programs aligned with real industry needs. With a commitment to excellence, we offer personalized guidance, hands-on training, and job placement services, ensuring candidates are equipped with the skills and support they need to thrive in competitive markets. Partner with us to access top-tier talent and build a team ready to tackle today’s tech challenges. ","TELECOMMUTE; New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/677721/logo,Ace IT Careers,http://www.aceitcareers.com,,"We are seeking motivated and detail-oriented individuals to join our team as Entry-Level QA Testers. This role is perfect for those passionate about technology and quality assurance, eager to build a rewarding career in software testing. You will work closely with our direct hiring employers to ensure the highest quality of software products. No prior experience is required; we provide comprehensive training to set you up for success. ",Full-time,"We are seeking motivated and detail-oriented individuals to join our team as Entry-Level QA Testers. This role is perfect for those passionate about technology and quality assurance, eager to build a rewarding career in software testing. You will work ...",1737504000,"Bachelor’s degree in Computer Science, Information Technology, or a related field is preferred but not mandatory.; Recent graduates or candidates with a strong interest in QA are encouraged to apply.; Basic understanding of software development and testing concepts (training will be provided).; Familiarity with MS Office tools and basic documentation.; Knowledge of any programming language or testing tool is a plus but not required.; Strong analytical and problem-solving skills.; Excellent attention to detail and commitment to delivering quality work.; Good verbal and written communication skills.; Ability to work collaboratively in a team environment.; Willingness to learn and adapt to new tools and technologies.; Strong work ethic and a proactive approach to problem-solving.; Availability to complete the training program and take up full-time responsibilities upon completion.",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/qxV1tj9Pb4oQuVWbRqCXM5/remote-entry-level---qa-tester-in-new-york-at-ace-it-careers
,"Athari is a diversity staffing firm in New York City. Our team not only talks the talk, but walks the walk, boasting Black, Female, Latinx, Queer, and Veteran representation. We aim to eliminate biases in the hiring process that have traditionally left qualified talent overlooked and under-hired. ","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/663521/logo,Athari,http://www.athari.io,Episteme Prognostics,"Position Overview:The CLIA Laboratory Director will oversee all clinical laboratory operations within the organization, ensuring compliance with CLIA regulations and maintaining the highest standards of laboratory quality and safety. The Director will provide strategic leadership, manage laboratory personnel, and foster a culture of excellence in laboratory practices. Key Responsibilities: Develop, implement, and maintain laboratory policies and procedures that comply with CLIA regulations and guidelines. Ensure all laboratory activities align with clinical, operational, and regulatory standards, providing direction to laboratory staff. Supervise laboratory personnel, including hiring, training, and performance evaluation, to promote a high level of competency and professionalism. Monitor laboratory performance metrics and quality indicators, implementing corrective actions when necessary to improve service delivery. Maintain oversight of laboratory safety practices and ensure compliance with state and federal regulatory requirements. Collaborate with other departments to enhance laboratory operations and improve overall patient care. Conduct regular audits of laboratory practices, providing insights and recommendations to enhance workflow and efficiency. Act as the primary liaison between the laboratory and external regulatory agencies, clinical partners, and stakeholders. Support the continuous education and professional development of laboratory staff to ensure they remain current with industry advancements. Participate in budget planning and resource allocation to achieve operational effectiveness and fiscal responsibility. Work Environment:This position may require occasional travel and extended hours, including on-call duties as needed. ",Full-time,"Position Overview:The CLIA Laboratory Director will oversee all clinical laboratory operations within the organization, ensuring compliance with CLIA regulations and maintaining the highest standards of laboratory quality and safety. The Director will ...",1731283200,"Doctor of Medicine (MD) or Doctor of Osteopathic Medicine (DO) with board certification in a relevant specialty.; Minimum of five years of progressive experience in laboratory management within a clinical environment.; Demonstrated knowledge of CLIA regulations, laboratory accreditation standards, and quality assurance practices.; Strong leadership and interpersonal skills with the ability to motivate and develop teams.; Exceptional communication skills, both verbal and written, with a focus on collaboration across multidisciplinary teams.; Proficient in laboratory information systems and electronic health records.; Possession of an active medical license in the state of New York is required.",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/d2XHJaGLkqvEqAkjWNZk8h/clia-laboratory-director-in-new-york-at-athari
"If interested please send your updated resume to rehana.j@two95intl.com and include your rate/Salary requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.","Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","TELECOMMUTE; New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,Information Technology,Job Title: SAP ISU Location: Remote Type: Full Time Salary: $Open,Full-time,Job Title: SAP ISU   Location: Remote  Type: Full Time  Salary: $Open,1675987200,"Job Description:; 7+ years’ experience in SAP EAM implementing SAP ISU EAM, Work Management solution for Utilities.; Strong functional understanding of the integration between SAP PM, Device Management, MM/IM, FI, and HR modules.; 5+ years or more SAP Plant Maintenance implementation experience including at least two full-lifecycle SAP projects.; 5+ years of designing and developing complex Work Management solutions using SAP Plant Maintenance (PM) module; Good understanding of integrating customer solutions with external non-SAP solutions.; Experience with all phases of an implementation including business process blueprint, detailed design, configuration, testing, and support; Experience in SAP Workflow, Interfaces, Enhancement framework and Middleware configuration/development.; Knowledge of S/4HANA or Cloud; Ability to gather and analyze internal business requirements by means of interviews, workflow analyses and facilitated discussions with users.; Ability to translate business requirements into detailed functional designs for development, testing and implementation.; Ability to create and maintain testing scripts in SAP Solution Manager.; Experience with creating training materials and assisting with user orientation and training.; Ability to serve as a liaison between technical, quality assurance and non-technical stakeholders throughout the development and deployment process.; Should have very good experience in playing Functional subject matter expert in SAP EAM/PM/Work Management business processes; Experience with EAM configuration experience with SAP ECC integration.; Knowledge of following business processes related to utilities industry; Service Order Management; Work Order Management; Plant maintenance; Interaction Records; Business master data; Technical Master data; Move-In/Out and Disconnect/Reconnect processes",Software Quality Assurance (QA) / Testing,https://jobs.workable.com/view/hekoAo7ZsYNDTHEsD3UKHB/remote-sap-isu%7C-sap-is-u-in-new-jersey-at-two95-international-inc.
