benefits,company_description,company_locations,company_logo,company_name,company_website,department,description,employmentType,excerpt,lastUpdated,requirements,title,url
,"SimpleCiti Holdings is a dynamic and innovative holding company dedicated to revolutionizing the real estate industry. Based on the principle of simplicity and efficiency, SimpleCiti embodies the vision of creating streamlined and effective solutions across various sectors within the real estate domain. Our mission is to make complex processes simple and accessible, driving value and growth through our diverse portfolio of businesses. Our Brands:
SimpleSPACES: Specializing in multi tenant industrial properties, SimpleSPACES offers flexible leasing solutions for industrial warehouses, ensuring tenants have adaptable and efficient spaces for their operations. SimpleBricks: Focused on development, SimpleBricks is committed to creating high-quality, sustainable real estate projects. Our team leverages innovative construction techniques to deliver exceptional properties that meet the evolving needs of our clients. SimpleAdvisory: As an SEC Registered Investment Advisor (RIA), SimpleAdvisory provides expert financial guidance and personalized investment strategies. We help our clients navigate the complexities of real estate investments with confidence and clarity. SimpleEquity: A private equity firm with a keen focus on equity investments, SimpleEquity partners with investors to identify and capitalize on lucrative opportunities in the real estate market. Our strategic approach ensures robust returns and long-term growth. SimpleMANAGE: This division manages our extensive portfolio of properties with a focus on efficiency, tenant satisfaction, and operational excellence. We provide comprehensive property management services that optimize asset performance and enhance tenant experiences. Our Vision:SimpleCiti Holdings strives to be a leader in the real estate industry by embracing simplicity, innovation, and excellence. We aim to create a seamless and enriching experience for our clients, tenants, and partners, fostering growth and success through our integrated approach. Our Values:
Simplicity: We believe in making complex processes simple and straightforward. Innovation: We embrace cutting-edge technologies and innovative solutions to stay ahead in the market. Excellence: We are committed to delivering the highest standards of quality and service in everything we do. Integrity: We conduct our business with honesty, transparency, and a strong sense of ethics. Collaboration: We value teamwork and partnership, working together to achieve shared goals. At SimpleCiti Holdings, we are redefining the real estate landscape, one simple solution at a time. ","Garden City, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/635232/logo,SimpleCiti Companies,http://simpleciti.com,SimpleCITI,"Job Description:We are seeking a skilled Website Developer to join our team and build multiple websites for our growing business. The ideal candidate will be responsible for turning ideas into fully functional websites, ensuring smooth operation, optimization, and technical functionality. You will work closely with our design team to bring their visuals to life and ensure all websites meet performance and usability standards. Responsibilities: Develop, test, and maintain multiple websites using modern web development tools and practices. Collaborate with the design team to implement website layouts and functionality. Ensure websites are mobile-friendly, fast-loading, and optimized for search engines (SEO). Manage website hosting, domain setup, and technical configurations. Troubleshoot and resolve website-related issues. Integrate third-party tools, APIs, and plugins as needed. ",Full-time,"Job Description:We are seeking a skilled Website Developer to join our team and build multiple websites for our growing business. The ideal candidate will be responsible for turning ideas into fully functional websites, ensuring smooth operation, optim...",1736899200,"Proven experience as a Website Developer, with a portfolio of past projects.; Proficiency in web development languages and tools (e.g., HTML, CSS, JavaScript).; Experience with content management systems (e.g., WordPress, Joomla, or similar).; Basic understanding of website performance optimization (e.g., caching, compression).; Knowledge of integrating APIs, plugins, and third-party services.",Web Developer,https://jobs.workable.com/view/wzy1vry64oRKs4oEq8nWeC/website-developer-in-garden-city-at-simpleciti-companies
,,"New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/674175/logo,RainesDev,http://www.rainesdev.com,,"Senior Web DeveloperCompany Overview:Since its founding in 1998, this global technology leader has been at the forefront of delivering cutting-edge software solutions for its divisions. With a team of over 1, 000 talented professionals, the company is committed to fostering an inclusive and collaborative environment. It emphasizes equal employment opportunities while tackling complex technological challenges. Known for innovation and expertise, the company is a trusted partner on an exciting growth journey. Location: Warren, NJ (Hybrid): This position requires the ability to reliably commute to the office for a hybrid work arrangement. Role Overview:We are seeking an experienced Senior Web Developer to join our dynamic team. In this role, you’ll leverage your skills in TypeScript, React, and backend technologies to develop interactive, high-quality software solutions. As part of a collaborative team, you’ll work on exciting projects, contribute to system design, and play a key role in implementing responsive, scalable applications. Key Responsibilities: Develop and maintain applications using TypeScript and React with a focus on state management using Redux. Design responsive, visually appealing user interfaces with CSS, SCSS, and SASS. Collaborate with backend teams to integrate solutions using C#, SQL Server, and REST APIs. Enhance performance and modularity with tools like Node. js, jQuery, and Webpack. Utilize Azure DevOps for task management, deployments, and build pipelines. Stay ahead of emerging technologies, with experience or an interest in GraphQL and gRPC considered a strong plus. Qualifications: Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field. Proven hands-on experience with TypeScript, React, and state management libraries like Redux. Strong skills in backend development using C# and SQL Server. Familiarity with modern web technologies, including Node. js, jQuery, and bundling tools like Webpack. Demonstrated expertise in working with REST APIs. Practical knowledge of Azure DevOps processes. Bonus skills: Experience with GraphQL and gRPC is highly desirable. Why Join Us? Work with a stable, growing company that values innovation and collaboration. Contribute to impactful projects alongside a team of accomplished technology professionals. Hybrid work model offering flexibility while fostering team synergy. ",Full-time,"Senior Web DeveloperCompany Overview:Since its founding in 1998, this global technology leader has been at the forefront of delivering cutting-edge software solutions for its divisions. With a team of over 1,000 talented professionals, the company is c...",1737072000,,Web Developer,https://jobs.workable.com/view/veR3Wcbg99XUuwi2frnPz7/hybrid-full-stack-developer-in-new-york-at-rainesdev
,"Bask provides a full service software that allows you to build any digital health experience. Built for doctors, physicians, entrepreneurs, and developers, the Bask system was built at enterprise scale for the everyday user. ","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/671909/logo,Bask Health,http://bask.health,Engineering,"As a engineer at Bask you will work directly with the CEO and CTO to build and design the software infrastructure that will serve as the backbone of telehealth. We are looking to expand our software engineers, seeking those with deep rooted entrepreneurial spirit. Our serverless platform is built using Next. js, Drizzle and SST for a powerful multi-tenant application. It is important to be fluent in these frameworks, with Typescript and Three. js being a must. What You'll Do• Design, build, and implement new services through the full development cycle: write elegant, well-tested code in a modern technology stack. Build libraries and frameworks that can help us build quickly and efficiently, and deliver value to our users. • Work closely with the product team: make architecture and design decisions, participate in stand-ups, code reviews, and retros, and help contribute and drive the engineering culture that focuses on simple, intuitive, high-impact experiences. • Be an engineering generalist: from developing servers and databases, to integrating APIs to expand our platforms capabilities, to final Ul implementation, to you'll have the opportunity to take end-to-end ownership and responsibility across the full development lifecycle. • Build from 0 to 1: You'll have the opportunity to both scale and automate existing services while also bringing new innovations to life. This is unique opportunity to help join a team where you'll be able to both build rapidly, and also contribute to product strategy and development!We are a highly collaborative team. ",Full-time,"As a engineer at Bask you will work directly with the CEO and CTO to build and design the software infrastructure that will serve as the backbone of telehealth.We are looking to expand our software engineers, seeking those with deep rooted entrepreneur...",1728345600,"Who We're Looking For; The ideal candidate is a full-stack generalist, and has experience taking a product from 0-1 product. We're looking for someone who's entrepreneurial and willing to roll up their sleeves to get the work done, and passionate about our mission to build a platform that will intensely disrupt the healthcare industry.; • You are dangerous on the frontend of the stack. • You are a highly skilled dev (React, TypeScript, Next.js, Three.js). • You also have backend skills (SST, Drizzle, SQL, Node). • You can work independently and are comfortable owning entire projects and or large areas of the code base • Strong experience in building paid products and services is preferred. • You are a strong communicator - you are able to clearly articulate technical problems, constraints and timelines. • You are comfortable working in a fast-paced, unstructured, startup environment.",Web Developer,https://jobs.workable.com/view/fW2eE8vmGiz6NmtX9ZSKDF/hybrid-front-end-software-engineer-in-new-york-at-bask-health
,"Human answers to business questions - Just Sago. Sago, formerly Schlesinger Group, is the global research and data partner that connects human answers to business questions. Combining our legacy of impact, global reach, and innovative spirit, we enable our clients to solve business problems through extensive audience access and an adaptive range of qualitative and quantitative solutions. We help our clients understand what their customers want and demand — empowering them to make decisions with confidence. As a partner to our clients, their clients, and the industry, Sago seamlessly connects businesses to key insights. ","TELECOMMUTE; New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/524485/logo,Sago,https://sago.com/en/,Corporate,"We're a team of innovators, strategists, and problem-solvers dedicated to helping our clients connect human answers to business questions. With a culture that values collaboration, creativity, and personal growth, we're looking for a Front End Engineerready to join us in making a real impact. We are SAGO. Passionate and inspired thinkers, who celebrate our wins. Vibrant Leaders who empower our colleagues and innovate the Market Research industry. Curious learners, constantly finding new ways to transform. Bold thinkers and doers who don’t do status-quo. Authentic team members who show up to work every day being ourselves, never afraid of new ideas or opinions, because we believe they matter. As a global leader in market research and data solutions, Sago is committed to connecting human answers to business questions. The world is transforming, and Sago is continuously reaching new heights, redefining our solutions beyond our clients’ wildest expectations, and making it smarter, faster, and easier to gain insights that matter. We have done it for over 55 years with the brightest minds, and we are looking for more trailblazers who will help us pave new paths that connect our clients with audiences around the world. We are looking for an experienced front-end engineer with a passion for building amazing user experiences. An ideal candidate has 5+ years in front-end development using React/Redux/Reselect, sass-modules, styled-components, a strong understanding of the JS toolchain, WebSockets/SSEs, and shows a strong interest in learning. Typescript experience not required, but preferred. This position will be responsible for contributing to the planning, design, development, and maintenance of large web applications. This position will also be responsible for receiving information and opinions from internal and external stakeholders and working closely with UI/UX designers regarding interface design and implementation. ",Full-time,"We&#39;re a team of innovators, strategists, and problem-solvers dedicated to helping our clients connect human answers to business questions. With a culture that values collaboration, creativity, and personal growth, we&#39;re looking for a&amp;nbsp;F...",1734566400,Bachelor’s degree or equivalent experience required.,Web Developer,https://jobs.workable.com/view/kEAjTGTRAL5x3EyFySWfRY/remote-front-end-engineer-in-new-jersey-at-sago
"Note: If interested please send your updated resume and include your salary requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.; We look forward to hearing from you at the earliest!","Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","New York, New York, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,Information Technology,"Location: NYC, NY Duration: Fulltime Salary: $Market (Depending on experience) We are looking for a talented and enthusiastic front-end developer to help us build beautiful Shopify e-commerce websites for forward-thinking brands. We're looking for a detail-oriented person with an passion developing great front-end experiences. You will be able to take a design in Sketch / Photoshop and build HTML, CSS and JS. A keen problem solver, you will be able to come up with creative answers to our clients needs. You will have a solid understanding of the fundamental aspects of HTML, CSS and JS. You will be passionate about front-end with a focus on performance and standards. You will have opinions and ideas about front-end and be passionate about sharing those ideas. You will care about the details and making sure everything looks just right You'll have excellent communication skills and the ability to communicate technical ideas to non-technical people (be that account managers or clients) You'll have a good understanding of common e-commerce design patterns. ",,"Location: NYC, NY  Duration: Fulltime  Salary: $Market (Depending on experience)      We are looking for a talented and enthusiastic front-end developer to help us build beautiful Shopify e-commerce websites for forward-thinking brands.  We&#39;re look...",1559001600,"Developing professional e-commerce stores on the Shopify platform for a wide range of retail brands.; Bringing design to life using HTML/SASS/JavaScript (jQuery).; Working closely with the project and account managers to deliver projects that are the best in the industry.; Collaborating and sharing ideas with the rest of the production team.; Javascript (vanilla, jQuery, JSON, Gulp, Grunt); HTML; CSS/SASS/SCSS; GIT/Version Control; Ability to work confidently within terminal; Experience with Shopify or a similar e-commerce platform (Magento, Woocommerce, Demandware, Hybris).; Experience developing e-commerce website front-ends.; Knowledge of LIQUID (Shopify's templating language).; Experience with Ruby.; Experience in an agency or in-house and/or a degree in a relevant subject.",Web Developer,https://jobs.workable.com/view/xbkgCw3hh2Ek56ZntrZaQa/front-end-developer-(shopify)-in-new-york-at-two95-international-inc.
"Note: If interested please send your updated resume to shubhankar.madane@two95intl.com  and include your salary requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.; Thanks and Regards; Shubhankar M | Technical Recruiter; Phone: 1-856 528 3312 ext 1239 | Email: shubhankar.madane@two95intl.com |; Two95 International Inc | 1101, N Kings Hwy, Suite #200 Cherry Hill ,NJ 08034 | Fax: 856-494-1988 | www.two95intl.com; Inc500-5000 Recognized Fastest growing private company in U.S.A.; LinkedIn: linkedin.com/in/shubhankar-madane-67a21666/","Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","Englewood, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,Information Technology,"Title: Jr Magento Developer Duration: 6+ Months Location: Englewood, NJ Rate: $Open (Best possible)",Contract,"Title: Jr Magento Developer  Duration: 6+ Months  Location: Englewood, NJ   Rate: $Open (Best possible)",1582502400,1. Ability to efficiently produce valid HTML/CSS; 2. Solid understanding of JavaScript and JavaScript Libraries; 3. Working experience utilizing PHP and MySQL; 4. Ability to rapidly debug issues and solve problems Nice to Have:; 5. Experience in *nix command line environment; 6. Proficiency in web server environment; 7. Knowledge of PHP MVC frameworks; 8. Ability to construct scalable Magento modules - Integrating with 3rd party APIs; 9. Understanding of web design and usability,Web Developer,https://jobs.workable.com/view/sZe7UxTxx7AHvXaPRnucUx/jr-magento-developer-(contract)-in-englewood-at-two95-international-inc.
,"Qode is dedicated to helping technical talent around the world find meaningful careers that match their skills and interests. Our platform provides a range of resources and tools that empower job seekers to take control of their careers and connect with top employers across a variety of industries. We believe that every individual deserves to find work that they're passionate about, and we are committed to making that vision a reality. Qode's team of experienced professionals is passionate about creating a better world of work by providing innovative solutions that improve the job search process for both job seekers and employers. We believe in transparency, trust, and collaboration, and we strive to build strong relationships with our customers and partners. Through our platform, we aim to create a more engaged and fulfilled global workforce that drives innovation and growth. ","New Jersey, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/627460/logo,Qode,http://qode.world,,"Full Stack DeveloperLocation: Irving, TXWorkplace Type: HybridAbout the RoleWe are seeking a talented and experienced Full Stack Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining our web applications. You will work closely with our team to ensure that our applications are high-performing, scalable, and user-friendly. Key Responsibilities Develop and maintain web applications using Java, JEE, React, and other related technologies. Design and implement RESTful web services. Collaborate with other developers to ensure code quality and consistency. Participate in all phases of the software development lifecycle. Troubleshoot and resolve technical issues. Stay up-to-date on the latest web development technologies and trends. Required Skills &amp; Qualifications At least seven years of experience in Web development (Full Stack) Strong background in Java Full Stack Programming including JEE web application development Java development in an application server environment RESTful Web services Solid background in front end development using React Understanding of Object-Oriented concepts, design patterns, and modern application frameworks Familiarity with all aspects of Software Development Life Cycle Object Oriented Analysis, Design and Programming Java/JEE Application development with familiarity of one or more ORM frameworks JavaScript &amp; React HTML, Cascading Style Sheets (CSS3), Bootstrap Strong Background in RESTful Web services JEE containers such as Apache Tomcat and/or other industry standard JEE application servers Git, Maven and other standard Source Control and Build tools Windows and Linux proficiency Business rules implemented in Java and SQL or Relational database Expertise in Core Java Programming (Java 8 &amp; above needed) Additional InformationThis is a hybrid role, offering a flexible work environment. We are looking for a highly motivated and results-oriented individual with a passion for web development. If you are a team player with excellent communication and problem-solving skills, we encourage you to apply. ",,"Full Stack DeveloperLocation: Irving, TXWorkplace Type: HybridAbout the RoleWe are seeking a talented and experienced Full Stack Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining our web applic...",1737936000,,Web Developer,https://jobs.workable.com/view/kArmvVSnzYbCXya5jqUeAM/hybrid-full-stack-developer-in-new-jersey-at-qode
,"Qode is dedicated to helping technical talent around the world find meaningful careers that match their skills and interests. Our platform provides a range of resources and tools that empower job seekers to take control of their careers and connect with top employers across a variety of industries. We believe that every individual deserves to find work that they're passionate about, and we are committed to making that vision a reality. Qode's team of experienced professionals is passionate about creating a better world of work by providing innovative solutions that improve the job search process for both job seekers and employers. We believe in transparency, trust, and collaboration, and we strive to build strong relationships with our customers and partners. Through our platform, we aim to create a more engaged and fulfilled global workforce that drives innovation and growth. ","New Jersey, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/627460/logo,Qode,http://qode.world,,"Full Stack DeveloperLocation: Irving, TXWorkplace Type: HybridAbout the RoleWe are seeking a talented and experienced Full Stack Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining our web applications. You will work closely with our team to ensure that our applications are high-performing, scalable, and user-friendly. Key Responsibilities Develop and maintain web applications using Java, JEE, React, and other related technologies. Design and implement RESTful web services. Collaborate with other developers to ensure code quality and consistency. Participate in all phases of the software development lifecycle. Troubleshoot and resolve technical issues. Stay up-to-date on the latest web development technologies and trends. Required Skills &amp; Qualifications At least seven years of experience in Web development (Full Stack) Strong background in Java Full Stack Programming including JEE web application development Java development in an application server environment RESTful Web services Solid background in front end development using React Understanding of Object-Oriented concepts, design patterns, and modern application frameworks Familiarity with all aspects of Software Development Life Cycle Object Oriented Analysis, Design and Programming Java/JEE Application development with familiarity of one or more ORM frameworks JavaScript &amp; React HTML, Cascading Style Sheets (CSS3), Bootstrap Strong Background in RESTful Web services JEE containers such as Apache Tomcat and/or other industry standard JEE application servers Git, Maven and other standard Source Control and Build tools Windows and Linux proficiency Business rules implemented in Java and SQL or Relational database Expertise in Core Java Programming (Java 8 &amp; above needed) Additional InformationThis is a hybrid role, offering a flexible work environment. We are looking for a highly motivated and results-oriented individual with a passion for web development. If you are a team player with excellent communication and problem-solving skills, we encourage you to apply. ",,"Full Stack DeveloperLocation: Irving, TXWorkplace Type: HybridAbout the RoleWe are seeking a talented and experienced Full Stack Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining our web applic...",1737936000,,Web Developer,https://jobs.workable.com/view/3ZwoofNhNw2X3c3HbLvYbC/hybrid-full-stack-developer-in-new-jersey-at-qode
,"Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","Montvale, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,information Technology," Title – Web service developer Position – Contract (6 + Months) Location – Montvale, NJ Rate- $Open(Best Possible) Required Skills and Duties: Applications maintenance and support for CRM Application of one of leading money transfer Organization. Perform root cause analysis of Incidents/problems, identify and implement permanent fix Possess technical and application knowledge to provide estimates for development tasks. Identify and explore opportunities to deliver new solutions through technological advanceswithin a technical domain Understand the requirements, create and document business process flows and work with theTeam to develop Product accordingly. Create, code, test, modify and install programs for a host of applications. Code Review to drive the use of Best Practices, Standards and Guidelines. Design, Build and the implementation of defects and change requests. Provide developer's support in Unit Testing / Integration Testing / Performance Testing Support in Product Build Package and Deployment Activity. Support Production / PT / UAT / QA / INT and DEV environments wherever needed. Support during Outages and Scheduled Downtimes. Monitor the ticketing tool and respond accordingly within agreed SLAs. Hands-on experience in Java &amp; java Web Services Projects (SOAP Webservices preferred) Experience of application framework – Spring, Hibernate Knowledge of Java EE-based application server runtime platform used for building, deploying, and hosting highly-transactional Java applications and services. Knowledge of Java IDE and Version Control System. Knowledge of Issue Management Tools - ASCENT, Splunk, Dynatrace, HP Quality Center Experience of different S/W development environments (Waterfall and Agile) Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us. ",,"    Title – Web service developer      Position – Contract (6 + Months)      Location – Montvale, NJ      Rate- $Open(Best Possible)  Required Skills and Duties:   Applications maintenance and support for CRM Application of one of leading money transfe...",1550707200,,Web Developer,https://jobs.workable.com/view/nXtNwpwkGcEiiWifAuS1vR/web-service-developer---montvale%2Cnj-in-montvale-at-two95-international-inc.
,"Two95 International Inc. , is a global technology firm specializing in enterprise solutions that evolves over BPM, Mobility, Cloud, Analytics, E-commerce &amp; Social Business. Our client base includes several Fortune 500 and mid-market companies across industries and varying geographies. With vast knowledge and knowhow of 20 years in the IT field, we have been chosen as INC500 fastest growing company in North America in 2013. With the accolade of being ranked 11th in Human Resources by INC500, we have also been nominated as the 3rd fastest growing company in South Jersey by SJBM. We are ranked among the Top 20 IT Companies in New Jersey based on the year-on-year growth for the last 3 years. With a seasoned team of highly qualified personnel, our offices are located in New Jersey, Canada and India. Our Specialties
Direct Hire, Contingent Staffing, Managed Outsourced Services. .","TELECOMMUTE; Hoboken, New Jersey, United States",https://workablehr.s3.amazonaws.com/uploads/account/logo/77073/Logo_Extended.jpg,Two95 International Inc.,http://two95intl.com,IT,"Title: Senior developer - Full StackType: Contract – 5+ MonthsLocation: REMOTE(Some travel to South Plainfield, NJ and Chelmsford, MA)Key: Node, Mongo, Restful Services, Bitbucket/github deployment background",Contract,"Title: Senior developer - Full StackType: Contract – 5+ MonthsLocation: REMOTE(Some travel to South Plainfield, NJ and Chelmsford, MA)Key: Node, Mongo, Restful Services, Bitbucket/github deployment background",1532649600,"•    3+ years of hands on experience with Java Script, Angular •    Hands on experience with NodeJS, MongoDB with bitbucket/github deployment•    Building restful services and working with linux, AWS, S3 is needed.; Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.; We look forward to hearing from you at the earliest!",Web Developer,https://jobs.workable.com/view/qhrjXVC1JDsTsBxKGo8U86/full-stack-developer---remote-in-hoboken-at-two95-international-inc.
